epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,124.847,2.91196,0.93355,1.08118,0.04167,0.05344,0.02228,0.00468,0,39907.9,0,0.00082339,0.00082339,0.00082339
45,127.39,2.09704,0.91372,1.07171,0.00444,0.00763,0.0023,0.00023,6.17709,22167.8,1253.21,0.000841667,0.000841667,0.000841667
46,130.365,2.52739,0.98499,1.10929,0.00444,0.00763,0.0023,0.00023,6.17709,22167.8,1253.21,0.000859905,0.000859905,0.000859905
47,133.815,2.47229,1.01076,1.10106,0.00444,0.00763,0.0023,0.00023,7.0711,89110.4,6034.46,0.000878103,0.000878103,0.000878103
48,136.997,2.19017,0.93878,1.1235,0.00444,0.00763,0.0023,0.00023,7.0711,89110.4,6034.46,0.000896262,0.000896262,0.000896262
49,140.368,2.37225,0.88811,1.06852,0.00444,0.00763,0.0023,0.00023,6e-05,4229.34,0.13898,0.000914381,0.000914381,0.000914381
50,143.34,2.04618,0.94983,1.09701,0.00444,0.00763,0.0023,0.00023,6e-05,4229.34,0.13898,0.00093246,0.00093246,0.00093246
51,147.056,2.38502,0.99105,1.14755,0.22222,0.07634,0.14043,0.04017,3.06182,7.17942,16.4435,0.0009505,0.0009505,0.0009505
52,150.122,2.39704,0.98163,1.10458,0.22222,0.07634,0.14043,0.04017,3.06182,7.17942,16.4435,0.0009685,0.0009685,0.0009685
53,152.906,2.22658,1.03744,1.15202,0.22222,0.07634,0.14043,0.04017,3.06182,7.17942,16.4435,0.000986461,0.000986461,0.000986461
54,155.745,2.12461,0.98912,1.14648,0.02,0.0458,0.01118,0.00295,4.13267,177.712,76.8744,0.00100438,0.00100438,0.00100438
55,158.661,2.23522,0.86301,1.03789,0.02,0.0458,0.01118,0.00295,4.13267,177.712,76.8744,0.00102226,0.00102226,0.00102226
56,162.095,2.14831,0.91835,1.07929,0.02,0.0458,0.01118,0.00295,4.13267,177.712,76.8744,0.0010401,0.0010401,0.0010401
57,164.938,2.1196,0.87631,1.01656,0.03109,0.0458,0.02077,0.00468,4.65913,437407,329.843,0.00105791,0.00105791,0.00105791
58,167.726,2.20673,0.87377,1.01082,0.03109,0.0458,0.02077,0.00468,4.65913,437407,329.843,0.00107567,0.00107567,0.00107567
59,170.442,2.53165,1.18802,1.29071,0.03109,0.0458,0.02077,0.00468,4.65913,437407,329.843,0.00109339,0.00109339,0.00109339
60,173.19,2.20213,0.85956,1.02582,0.03109,0.0458,0.02077,0.00468,6.67886,228480,1208.79,0.00111108,0.00111108,0.00111108
61,175.675,2.21031,1.10424,1.16736,0.03109,0.0458,0.02077,0.00468,6.67886,228480,1208.79,0.00112872,0.00112872,0.00112872
62,178.214,2.13088,0.8375,1.00391,0.03109,0.0458,0.02077,0.00468,6.67886,228480,1208.79,0.00114632,0.00114632,0.00114632
63,181.043,2.4213,0.87998,1.00478,0.03109,0.0458,0.02077,0.00468,0,198023,0,0.00116389,0.00116389,0.00116389
64,184.098,2.02565,0.88101,1.02997,0.03109,0.0458,0.02077,0.00468,0,198023,0,0.00118141,0.00118141,0.00118141
65,186.884,2.00739,0.91769,1.03531,0.03109,0.0458,0.02077,0.00468,0,198023,0,0.0011989,0.0011989,0.0011989
66,190.301,1.91291,0.95091,1.08503,0.03109,0.0458,0.02077,0.00468,0,3963.1,0,0.00121635,0.00121635,0.00121635
67,193.299,2.29149,0.92445,1.02513,0.03109,0.0458,0.02077,0.00468,0,3963.1,0,0.00123375,0.00123375,0.00123375
68,196.029,2.1418,0.94227,1.0661,0.03109,0.0458,0.02077,0.00468,0,3963.1,0,0.00125112,0.00125112,0.00125112
69,198.925,2.28155,0.96566,1.09566,0.03109,0.0458,0.02077,0.00468,0,40553.1,0,0.00126844,0.00126844,0.00126844
70,201.583,2.09372,0.91253,1.06966,0.03109,0.0458,0.02077,0.00468,0,40553.1,0,0.00128573,0.00128573,0.00128573
71,204.274,1.96829,0.85328,1.01268,0.03109,0.0458,0.02077,0.00468,0,40553.1,0,0.00130298,0.00130298,0.00130298
72,207.083,2.33197,0.86682,1.00621,0.03109,0.0458,0.02077,0.00468,2.02515,82598.5,19985.2,0.00132019,0.00132019,0.00132019
73,209.68,2.1647,1.06173,1.05517,0.03109,0.0458,0.02077,0.00468,2.02515,82598.5,19985.2,0.00133736,0.00133736,0.00133736
74,212.112,1.70281,0.82245,0.99636,0.03109,0.0458,0.02077,0.00468,2.02515,82598.5,19985.2,0.00135449,0.00135449,0.00135449
75,214.748,1.92156,0.88764,1.01616,0.03109,0.0458,0.02077,0.00468,5.18323,152580,18378.4,0.00137158,0.00137158,0.00137158
76,217.287,1.79211,0.85773,1.02242,0.03109,0.0458,0.02077,0.00468,5.18323,152580,18378.4,0.00138863,0.00138863,0.00138863
77,219.859,1.92302,0.82394,1.01708,0.03109,0.0458,0.02077,0.00468,5.18323,152580,18378.4,0.00140564,0.00140564,0.00140564
78,223.077,1.80971,0.83345,1.02211,0.03109,0.0458,0.02077,0.00468,0.05772,29374.6,197.576,0.00142261,0.00142261,0.00142261
79,225.784,1.80854,0.9022,1.02012,0.03109,0.0458,0.02077,0.00468,0.05772,29374.6,197.576,0.00143954,0.00143954,0.00143954
80,228.758,1.88734,0.9184,1.05604,0.03109,0.0458,0.02077,0.00468,0.05772,29374.6,197.576,0.00145643,0.00145643,0.00145643
81,231.689,2.04573,0.86884,1.0068,0.03109,0.0458,0.02077,0.00468,0.07862,981.411,0.1075,0.00147328,0.00147328,0.00147328
82,234.428,1.77952,0.91948,1.02557,0.03109,0.0458,0.02077,0.00468,0.07862,981.411,0.1075,0.00149009,0.00149009,0.00149009
83,236.907,1.83171,0.95199,1.01078,0.03109,0.0458,0.02077,0.00468,0.07862,981.411,0.1075,0.00150686,0.00150686,0.00150686
84,239.624,1.88633,0.91728,1.01416,0.03109,0.0458,0.02077,0.00468,0.79956,90.9129,6.17825,0.0015236,0.0015236,0.0015236
85,242.163,2.14151,0.86907,0.98566,0.03109,0.0458,0.02077,0.00468,0.79956,90.9129,6.17825,0.00154029,0.00154029,0.00154029
